0,2.97,4.8,1.2,1233.37,1473.67,849.76
1,2.18,4.55,0.56,1183.11,1473.67,894.68
0,3.66,4.8,1.2,1190.45,1483.86,894.68
1,2.28,4.15,0.54,1311.27,1483.86,849.76
0,3.27,4.55,1.2,1243.1,1483.86,849.76
1,2.48,4.55,0.56,1138.46,1473.67,849.76
0,2.79,4.74,1.2,1285.07,1445.42,1076.47
1,1.78,4.15,0.54,1144.62,1445.42,894.68
0,3.11,4.8,1.2,1252.66,1473.67,849.76
1,2.41,4.15,0.56,1197.79,1483.86,849.76
0,3.13,4.8,1.2,1160.21,1445.42,961.17
1,2.58,4.55,0.71,1210.27,1483.86,849.76
0,3.81,4.8,2.48,1123.43,1483.86,849.76
1,2.27,4.55,0.54,1261.11,1483.86,961.17
0,3.23,4.8,1.2,1240.19,1483.86,894.68
1,2.4,4.55,0.56,1228.49,1483.86,849.76
0,3.38,4.8,1.71,1224.27,1473.67,849.76
1,2.08,4.55,0.54,1159.91,1445.82,849.76
0,3.84,4.8,1.2,1229.81,1483.86,1026.7
1,2.03,4.55,0.54,1327.92,1445.82,1056.54
0,2.76,4.55,1.2,1336.46,1483.86,849.76
1,2.2,4.55,0.56,1200.16,1483.86,961.17
0,3.51,4.8,1.54,1275.48,1473.67,1026.7
1,2.07,4.55,0.54,1222.3,1445.42,961.17
0,3.2,4.8,1.2,1171.2,1483.86,849.76
1,1.72,3.54,0.54,1231.62,1473.67,894.68
0,3.94,4.8,2.48,1237.44,1483.86,894.68
1,2.1,4.55,0.54,1297.1,1445.82,961.17
0,2.96,4.74,1.2,1191.28,1473.67,961.17
1,2.41,4.55,0.54,1196.19,1473.67,849.76
0,3.41,4.8,1.54,1306.35,1483.86,849.76
1,2.0,4.55,0.54,1234.95,1483.86,849.76
0,3.66,4.8,1.2,1120.33,1483.86,849.76
1,2.17,4.55,0.54,1287.71,1483.86,1026.7
0,3.47,4.8,1.2,1135.62,1473.67,849.76
1,2.44,4.55,0.54,1281.19,1473.67,849.76
0,3.56,4.8,1.54,1202.53,1483.86,849.76
1,2.2,4.55,0.56,1151.85,1483.86,894.68
0,3.28,4.74,1.2,1143.84,1473.67,849.76
